,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,R,Au,Hg,Tl,Pb,Bi,Th,U,Pu
Cd,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn,-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sb,-4,-2,-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs,8,1,-4,-7,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba,-28,-36,-42,-51,-72,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La,-30,-36,-39,-53,-71,57,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce,-30,-36,-38,-52,-70,59,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr,-30,-35,-37,-52,-69,60,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd,-29,-35,-37,-51,-69,60,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm,-30,-35,-37,-52,-69,63,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm,-30,-35,-36,-51,-68,62,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Eu,-27,-32,-35,-44,-63,16,0,11,12,13,13,14,14,,,,,,,,,,,,,,,,,,,,,,,,
Gd,-29,-35,-36,-51,-68,62,20,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,
Tb,-29,-34,-35,-50,-67,64,21,0,0,0,0,0,0,15,0,,,,,,,,,,,,,,,,,,,,,,
Dy,-29,-34,-35,-50,-67,63,21,0,0,0,0,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,
Ho,-29,-33,-35,-49,-66,62,20,0,0,0,0,0,0,15,0,0,0,,,,,,,,,,,,,,,,,,,,
Er,-29,-33,-34,-49,-66,65,22,1,0,0,0,0,0,16,0,0,0,0,,,,,,,,,,,,,,,,,,,
Tm,-29,-33,-34,-49,-66,65,22,1,0,0,0,0,0,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Yb,-28,-31,-34,43,-61,19,1,8,8,9,9,11,10,0,10,11,11,11,12,12,,,,,,,,,,,,,,,,,
Lu,-30,-33,-34,-49,-66,67,24,1,1,0,0,0,0,18,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,
Hf,-13,-19,-18,-35,-50,104,54,15,14,13,13,11,11,44,11,10,10,10,9,9,38,8,,,,,,,,,,,,,,,
Ta,15,9,13,-3,-13,130,77,33,31,29,29,27,27,66,27,25,25,26,23,23,58,21,3,,,,,,,,,,,,,,
W,43,33,38,27,25,132,74,32,29,26,26,23,24,64,24,21,21,22,19,19,56,16,-6,-7,,,,,,,,,,,,,
Re,38,25,29,20,23,101,42,3,0,-2,-2,-5,-4,34,-4,-7,-7,-5,-9,-9,28,-12,-30,-24,-4,,,,,,,,,,,,
Os,28,14,16,9,14,74,15,-21,-24,-26,-26,-29,-28,9,-28,-30,-29,-28,-31,-31,4,-34,-48,-38,-10,-1,,,,,,,,,,,
Ir,16,0,0,-5,1,45,-14,-48,-50,-52,-51,-55,-53,-18,-53,-55,-55,-53,-56,-56,-22,-59,-68,-52,-16,-3,-1,,,,,,,,,,
Pt,-1,-18,-21,-25,-17,10,-50,-80,-81,-82,-82,-85,-84,-51,-83,-85,-84,-83,-86,-85,-54,-88,-90,-66,-20,-4,0,0,,,,,,,,,
Au,-6,-11,-11,-10,-4,-9,-60,-73,-73,-73,-73,-75,-74,-58,-74,-74,-74,-72,-74,-74,-59,-75,-63,-32,12,20,18,13,4,,,,,,,,
Hg,-1,0,-1,0,-1,-11,-49,-45,-44,-43,-43,-43,-43,-43,-43,-42,-42,-41,-41,-41,-42,-41,-23,9,38,33,23,9,-9,-4,,,,,,,
Tl,3,2,0,2,-1,-15,-49,-38,-37,-36,-36,-35,-35,-41,-35,-34,-34,-33,-33,-32,-39,-32,-11,24,52,44,30,14,-8,-2,1,,,,,,
Pb,3,2,-1,2,1,-25,-62,-51,-50,-49,-49,-49,-48,-53,-48,-47,-46,-46,-45,-45,-50,-45,-23,15,49,44,32,16,-5,2,1,-1,,,,,
Bi,2,1,-1,1,1,-27,-68,-58,-57,-56,-55,-55,-54,-58,-54,-53,-53,-52,-52,-51,-55,-51,-30,9,45,40,29,14,-8,2,1,-1,0,,,,
Th,-29,-32,-31,-48,-65,78,30,3,2,2,2,1,1,23,1,1,1,1,1,1,18,0,6,18,12,-16,-39,-64,-94,-78,-39,-28,-41,-48,,,
U,0,-8,-7,-23,-34,104,52,15,14,12,12,10,11,43,11,10,9,10,8,8,36,7,-2,3,1,-17,-33,-50,-68,-43,-10,1,-9,-15,4,,
Pu,-6,-16,-16,-30,-42,81,36,7,6,5,5,4,4,29,4,3,3,3,2,2,24,1,-1,8,8,-10,-26,-44,-63,-45,-18,-10,-20,-26,0,1,