FORMULA,PROPERTY: Atomic radius ($\AA$),PROPERTY: Pauling electronegativity,PROPERTY: Valence Electron Configuration,PROPERTY: Melting temperature (K),REFERENCE: doi
Li,1.519,0.98,1,453,10.1016/S1002-0071(12)60080-X
Be,1.128,1.57,2,1551,10.1016/S1002-0071(12)60080-X
B,0.82,2.04,3,2573,10.1016/S1002-0071(12)60080-X
C,0.773,2.55,4,3773,10.1016/S1002-0071(12)60080-X
N,0.75,3.04,5,63,10.1016/S1002-0071(12)60080-X
O,0.73,3.44,6,55,10.1016/S1002-0071(12)60080-X
Na,1.857,0.93,1,371,10.1016/S1002-0071(12)60080-X
Mg,1.601,1.31,2,912,10.1016/S1002-0071(12)60080-X
Al,1.432,1.61,3,933,10.1016/S1002-0071(12)60080-X
Si,1.153,1.9,4,1683,10.1016/S1002-0071(12)60080-X
P,1.06,2.19,5,317,10.1016/S1002-0071(12)60080-X
S,1.02,2.58,6,386,10.1016/S1002-0071(12)60080-X
K,2.31,0.82,1,337,10.1016/S1002-0071(12)60080-X
Ca,1.976,1,2,1112,10.1016/S1002-0071(12)60080-X
Sc,1.641,1.36,3,1812,10.1016/S1002-0071(12)60080-X
Ti,1.462,1.54,4,1933,10.1016/S1002-0071(12)60080-X
V,1.316,1.63,5,2163,10.1016/S1002-0071(12)60080-X
Cr,1.249,1.66,6,2130,10.1016/S1002-0071(12)60080-X
Mn,1.35,1.55,7,1518,10.1016/S1002-0071(12)60080-X
Fe,1.241,1.83,8,1808,10.1016/S1002-0071(12)60080-X
Co,1.251,1.88,9,1768,10.1016/S1002-0071(12)60080-X
Ni,1.246,1.91,10,1726,10.1016/S1002-0071(12)60080-X
Cu,1.278,1.9,11,1356,10.1016/S1002-0071(12)60080-X
Zn,1.395,1.65,12,693,10.1016/S1002-0071(12)60080-X
Ga,1.392,1.81,3,303,10.1016/S1002-0071(12)60080-X
Ge,1.24,2.01,4,1210,10.1016/S1002-0071(12)60080-X
Se,1.4,2.55,6,490,10.1016/S1002-0071(12)60080-X
Rb,2.44,0.82,1,312,10.1016/S1002-0071(12)60080-X
Sr,2.152,0.95,2,1042,10.1016/S1002-0071(12)60080-X
Y,1.802,1.22,3,1796,10.1016/S1002-0071(12)60080-X
Zr,1.603,1.33,4,2125,10.1016/S1002-0071(12)60080-X
Nb,1.429,1.6,5,2741,10.1016/S1002-0071(12)60080-X
Mo,1.363,2.16,6,2890,10.1016/S1002-0071(12)60080-X
Tc,1.36,1.9,7,2473,10.1016/S1002-0071(12)60080-X
Ru,1.338,2.2,8,2523,10.1016/S1002-0071(12)60080-X
Rh,1.345,2.28,9,2239,10.1016/S1002-0071(12)60080-X
Pd,1.375,2.2,10,1825,10.1016/S1002-0071(12)60080-X
Ag,1.445,1.93,11,1235,10.1016/S1002-0071(12)60080-X
Cd,1.568,1.69,12,594,10.1016/S1002-0071(12)60080-X
In,1.659,1.78,3,430,10.1016/S1002-0071(12)60080-X
Sn,1.62,1.96,4,505,10.1016/S1002-0071(12)60080-X
Te,1.452,2.1,6,722,10.1016/S1002-0071(12)60080-X
Cs,2.65,0.79,1,302,10.1016/S1002-0071(12)60080-X
Ba,2.176,0.89,2,998,10.1016/S1002-0071(12)60080-X
La,1.879,1.1,3,1193,10.1016/S1002-0071(12)60080-X
Ce,1.825,1.12,3,1068,10.1016/S1002-0071(12)60080-X
Pr,1.65,1.13,3,1208,10.1016/S1002-0071(12)60080-X
Nd,1.64,1.14,3,1283,10.1016/S1002-0071(12)60080-X
Pm,1.63,1.13,3,1373,10.1016/S1002-0071(12)60080-X
Sm,1.81,1.17,3,1345,10.1016/S1002-0071(12)60080-X
Eu,1.984,1.2,3,1095,10.1016/S1002-0071(12)60080-X
Gd,1.801,1.2,3,1584,10.1016/S1002-0071(12)60080-X
Tb,1.781,1.1,3,1633,10.1016/S1002-0071(12)60080-X
Dy,1.774,1.22,3,1685,10.1016/S1002-0071(12)60080-X
Ho,1.766,1.23,3,1743,10.1016/S1002-0071(12)60080-X
Er,1.756,1.24,3,1795,10.1016/S1002-0071(12)60080-X
Tm,1.56,1.25,3,1818,10.1016/S1002-0071(12)60080-X
Yb,1.7,1.1,3,1097,10.1016/S1002-0071(12)60080-X
Lu,1.735,1.27,3,1929,10.1016/S1002-0071(12)60080-X
Hf,1.578,1.3,4,2423,10.1016/S1002-0071(12)60080-X
Ta,1.43,1.5,5,3269,10.1016/S1002-0071(12)60080-X
W,1.367,2.36,6,3683,10.1016/S1002-0071(12)60080-X
Re,1.375,1.9,7,3453,10.1016/S1002-0071(12)60080-X
Os,1.352,2.2,8,3318,10.1016/S1002-0071(12)60080-X
Ir,1.357,2.2,9,2683,10.1016/S1002-0071(12)60080-X
Pt,1.387,2.28,10,2045,10.1016/S1002-0071(12)60080-X
Au,1.442,2.54,11,1337,10.1016/S1002-0071(12)60080-X
Tl,1.716,1.62,3,576,10.1016/S1002-0071(12)60080-X
Pb,1.75,2.33,4,600,10.1016/S1002-0071(12)60080-X
Po,1.53,2,6,527,10.1016/S1002-0071(12)60080-X
Th,1.8,1.3,3,2023,10.1016/S1002-0071(12)60080-X
Pa,1.61,1.5,3,1841,10.1016/S1002-0071(12)60080-X
U,1.42,1.38,3,1405,10.1016/S1002-0071(12)60080-X